name,producer,type,country,region,vintage,bottles,status,storage,duty_status,drink_window,roi_pct,case_value_gbp,description
"Tignanello, Toscana, Antinori",Antinori,Still Red,Italy,Toscana,2023,90,In Stock,NEXUS (LCB Dinton),In Bond,,19.20,565.02,"Tignanello, Toscana, Antinori 2023 is a still red from Antinori in Toscana, Italy. ABV 14.50%. Holding 90 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £474 per case. Current case value £565.02, ROI 19.20%."
"Meursault, Les Tillets, Bernard-Bonin",Bernard-Bonin,Still White,France,Meursault,2021,4,Due In,NEXUS (LCB Dinton),In Bond,,11.77,1656.48,"Meursault, Les Tillets, Bernard-Bonin 2021 is a still white from Bernard-Bonin in Meursault, France. Holding 4 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £1482 per case. Current case value £1656.48, ROI 11.77%."
"Meursault, 1er Cru, Clos Richemont, Domaine Henri Boillot",Domaine Henri Boillot,Still White,France,Meursault,2023,4,Due In,NEXUS (LCB Dinton),In Bond,,-9.60,640.02,"Meursault, 1er Cru, Clos Richemont, Domaine Henri Boillot 2023 is a still white from Domaine Henri Boillot in Meursault, France. ABV 14.00%. Holding 4 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £708 per case. Current case value £640.02, ROI -9.60%."
"Ch Brane-Cantenac, Margaux",Ch Brane Cantenac,Still Red,France,Margaux,2016,12,In Stock,NEXUS (LCB Dinton),In Bond,,15.23,612.96,"Ch Brane-Cantenac, Margaux 2016 is a still red from Ch Brane Cantenac in Margaux, France. ABV 13.50%. Holding 12 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sterling Fine Wines at £531.95 per case. Current case value £612.96, ROI 15.23%."
"Bramìto Chardonnay, Castello della Sala",Castello della Sala,Still White,Italy,Umbria,2024,84,Due In,NEXUS (LCB Dinton),In Bond,,30.12,97.98,"Bramìto Chardonnay, Castello della Sala 2024 is a still white from Castello della Sala in Umbria, Italy. ABV 12.50%. Holding 84 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £75.3 per case. Current case value £97.98, ROI 30.12%."
"Saint-Aubin, En Montceau, 1er Cru, Colin (Marc)",Colin (Marc),Still White,France,Saint-Aubin,2018,6,In Stock,NEXUS (LCB Dinton),In Bond,,42.01,240.00,"Saint-Aubin, En Montceau, 1er Cru, Colin (Marc) 2018 is a still white from Colin (Marc) in Saint-Aubin, France. ABV 13.50%. Holding 6 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sterling Fine Wines at £169 per case. Current case value £240.00, ROI 42.01%."
"Ch Les Cruzelles, Lalande de Pomerol",Ch Les Cruzelles,Still Red,France,Lalande de Pomerol,2019,6,In Stock,NEXUS (LCB Dinton),In Bond,,27.51,107.52,"Ch Les Cruzelles, Lalande de Pomerol 2019 is a still red from Ch Les Cruzelles in Lalande de Pomerol, France. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sterling Fine Wines at £84.32 per case. Current case value £107.52, ROI 27.51%."
"Ch Les Cruzelles, Lalande de Pomerol",Ch Les Cruzelles,Still Red,France,Lalande de Pomerol,2019,3,In Stock,NEXUS (LCB Dinton),In Bond,,20.34,107.49,"Ch Les Cruzelles, Lalande de Pomerol 2019 is a still red from Ch Les Cruzelles in Lalande de Pomerol, France. ABV 14.50%. Holding 3 bottles (150cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sterling Fine Wines at £89.32 per case. Current case value £107.49, ROI 20.34%."
"Diamond Creek Cabernet Sauvignon, Gravelly Meadow, Napa Valley",Diamond Creek,Still Red,USA,Napa Valley,2019,1,In Stock,NEXUS (LCB Dinton),In Bond,,9.63,197.33,"Diamond Creek Cabernet Sauvignon, Gravelly Meadow, Napa Valley 2019 is a still red from Diamond Creek in Napa Valley, USA. ABV 14.00%. Holding 1 bottle (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sterling Fine Wines at £180 per case. Current case value £197.33, ROI 9.63%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2004,6,Due In,NEXUS (LCB Dinton),In Bond,,28.21,1050.00,"Dominus, Napa Valley, Dominus Estate 2004 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.00%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £819 per case. Current case value £1050.00, ROI 28.21%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2005,36,Due In,NEXUS (LCB Dinton),In Bond,,9.89,1150.02,"Dominus, Napa Valley, Dominus Estate 2005 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 36 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £1046.5 per case. Current case value £1150.02, ROI 9.89%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2006,12,Due In,NEXUS (LCB Dinton),In Bond,,9.31,945.00,"Dominus, Napa Valley, Dominus Estate 2006 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 12 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £864.5 per case. Current case value £945.00, ROI 9.31%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2007,12,Due In,NEXUS (LCB Dinton),In Bond,,13.09,1234.98,"Dominus, Napa Valley, Dominus Estate 2007 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.00%. Holding 12 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £1092 per case. Current case value £1234.98, ROI 13.09%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2007,12,Due In,NEXUS (LCB Dinton),In Bond,,13.09,1234.98,"Dominus, Napa Valley, Dominus Estate 2007 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.00%. Holding 12 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £1092 per case. Current case value £1234.98, ROI 13.09%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2008,6,Due In,NEXUS (LCB Dinton),In Bond,,9.89,1150.02,"Dominus, Napa Valley, Dominus Estate 2008 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £1046.5 per case. Current case value £1150.02, ROI 9.89%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2008,6,Due In,NEXUS (LCB Dinton),In Bond,,9.89,1150.02,"Dominus, Napa Valley, Dominus Estate 2008 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £1046.5 per case. Current case value £1150.02, ROI 9.89%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2009,12,Due In,NEXUS (LCB Dinton),In Bond,,9.89,1189.98,"Dominus, Napa Valley, Dominus Estate 2009 is a still red from Dominus Estate in Napa Valley, USA. ABV 13.50%. Holding 12 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £1082.9 per case. Current case value £1189.98, ROI 9.89%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2009,6,Due In,NEXUS (LCB Dinton),In Bond,,9.89,1189.98,"Dominus, Napa Valley, Dominus Estate 2009 is a still red from Dominus Estate in Napa Valley, USA. ABV 13.50%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £1082.9 per case. Current case value £1189.98, ROI 9.89%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2010,12,Due In,NEXUS (LCB Dinton),In Bond,,9.89,1270.02,"Dominus, Napa Valley, Dominus Estate 2010 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.50%. Holding 12 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £1155.7 per case. Current case value £1270.02, ROI 9.89%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2010,6,Due In,NEXUS (LCB Dinton),In Bond,,9.89,1270.02,"Dominus, Napa Valley, Dominus Estate 2010 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £1155.7 per case. Current case value £1270.02, ROI 9.89%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2011,6,Due In,NEXUS (LCB Dinton),In Bond,,9.62,798.00,"Dominus, Napa Valley, Dominus Estate 2011 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £728 per case. Current case value £798.00, ROI 9.62%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2011,6,Due In,NEXUS (LCB Dinton),In Bond,,9.62,798.00,"Dominus, Napa Valley, Dominus Estate 2011 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £728 per case. Current case value £798.00, ROI 9.62%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2012,12,Due In,NEXUS (LCB Dinton),In Bond,,22.62,1060.02,"Dominus, Napa Valley, Dominus Estate 2012 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 12 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £864.5 per case. Current case value £1060.02, ROI 22.62%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2012,6,Due In,NEXUS (LCB Dinton),In Bond,,22.62,1060.02,"Dominus, Napa Valley, Dominus Estate 2012 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £864.5 per case. Current case value £1060.02, ROI 22.62%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2013,6,Due In,NEXUS (LCB Dinton),In Bond,,9.89,1680.00,"Dominus, Napa Valley, Dominus Estate 2013 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £1528.8 per case. Current case value £1680.00, ROI 9.89%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2013,12,Due In,NEXUS (LCB Dinton),In Bond,,9.89,1680.00,"Dominus, Napa Valley, Dominus Estate 2013 is a still red from Dominus Estate in Napa Valley, USA. ABV 15.00%. Holding 12 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £1528.8 per case. Current case value £1680.00, ROI 9.89%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2014,6,Due In,NEXUS (LCB Dinton),In Bond,,16.76,850.02,"Dominus, Napa Valley, Dominus Estate 2014 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £728 per case. Current case value £850.02, ROI 16.76%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2014,6,Due In,NEXUS (LCB Dinton),In Bond,,16.76,850.02,"Dominus, Napa Valley, Dominus Estate 2014 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £728 per case. Current case value £850.02, ROI 16.76%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2015,6,Due In,NEXUS (LCB Dinton),In Bond,,1.19,1036.02,"Dominus, Napa Valley, Dominus Estate 2015 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £1023.8 per case. Current case value £1036.02, ROI 1.19%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2015,6,Due In,NEXUS (LCB Dinton),In Bond,,1.19,1036.02,"Dominus, Napa Valley, Dominus Estate 2015 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £1023.8 per case. Current case value £1036.02, ROI 1.19%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2016,6,In Stock,NEXUS (LCB Dinton),In Bond,,13.52,1099.98,"Dominus, Napa Valley, Dominus Estate 2016 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Liv-ex at £969 per case. Current case value £1099.98, ROI 13.52%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2016,6,Due In,NEXUS (LCB Dinton),In Bond,,15.12,1099.98,"Dominus, Napa Valley, Dominus Estate 2016 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £955.5 per case. Current case value £1099.98, ROI 15.12%."
"Dominus, Napa Valley, Dominus Estate",Dominus Estate,Still Red,USA,Napa Valley,2016,6,Due In,NEXUS (LCB Dinton),In Bond,,15.12,1099.98,"Dominus, Napa Valley, Dominus Estate 2016 is a still red from Dominus Estate in Napa Valley, USA. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from C & B at £955.5 per case. Current case value £1099.98, ROI 15.12%."
"Clos Mireille Rosé, Côtes de Provence, Dom Ott",Dom Ott,Still Rosé,France,Côtes de Provence,2025,6,Delivered,NEXUS (LCB Dinton),In Bond,,22.07,150.00,"Clos Mireille Rosé, Côtes de Provence, Dom Ott 2025 is a still rosé from Dom Ott in Côtes de Provence, France. ABV 13.50%. Holding 6 bottles (75cl) in stock. Current status: Delivered. Stored at NEXUS (LCB Dinton), In Bond. Bought from Maison Marques & Domaines at £122.88 per case. Current case value £150.00, ROI 22.07%."
"Clos Mireille Rosé, Côtes de Provence, Dom Ott",Dom Ott,Still Rosé,France,Côtes de Provence,2025,6,In Stock,NEXUS (LCB Dinton),In Bond,,22.07,150.00,"Clos Mireille Rosé, Côtes de Provence, Dom Ott 2025 is a still rosé from Dom Ott in Côtes de Provence, France. ABV 13.50%. Holding 6 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Maison Marques & Domaines at £122.88 per case. Current case value £150.00, ROI 22.07%."
"Puligny-Montrachet Blanc, 1er Cru, Les Folatières Richarde, Benoit Ente",Benoit Ente,Still White,France,Puligny-Montrachet,2020,4,Due In,NEXUS (LCB Dinton),In Bond,,12.27,1684.02,"Puligny-Montrachet Blanc, 1er Cru, Les Folatières Richarde, Benoit Ente 2020 is a still white from Benoit Ente in Puligny-Montrachet, France. Holding 4 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £1500 per case. Current case value £1684.02, ROI 12.27%."
"Puligny-Montrachet Blanc, 1er Cru, Les Folatières Richarde, Benoit Ente",Benoit Ente,Still White,France,Puligny-Montrachet,2022,4,Due In,NEXUS (LCB Dinton),In Bond,,4.00,1560.00,"Puligny-Montrachet Blanc, 1er Cru, Les Folatières Richarde, Benoit Ente 2022 is a still white from Benoit Ente in Puligny-Montrachet, France. Holding 4 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £1500 per case. Current case value £1560.00, ROI 4.00%."
"Ch l'Evangile, Pomerol",Ch l'Evangile,Still Red,France,Pomerol,2009,6,Due In,NEXUS (LCB Dinton),In Bond,,17.92,1503.48,"Ch l'Evangile, Pomerol 2009 is a still red from Ch l'Evangile in Pomerol, France. ABV 13.00%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from L & W at £1275 per case. Current case value £1503.48, ROI 17.92%."
"Flaccianello della Pieve, Colli della Toscana Centrale, Fontodi",Fontodi,Still Red,Italy,Colli della Toscana Centrale,2020,12,In Stock,NEXUS (LCB Dinton),In Bond,,-29.09,390.00,"Flaccianello della Pieve, Colli della Toscana Centrale, Fontodi 2020 is a still red from Fontodi in Colli della Toscana Centrale, Italy. ABV 14.50%. Holding 12 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sterling Fine Wines at £550 per case. Current case value £390.00, ROI -29.09%."
"Ch de Beaucastel, Châteauneuf-du-Pape, Famille Perrin",Famille Perrin,Still Red,France,Châteauneuf-du-Pape,2016,6,In Stock,NEXUS (LCB Dinton),In Bond,,62.03,349.98,"Ch de Beaucastel, Châteauneuf-du-Pape, Famille Perrin 2016 is a still red from Famille Perrin in Châteauneuf-du-Pape, France. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sterling Fine Wines at £216 per case. Current case value £349.98, ROI 62.03%."
"Barbaresco, Gaja",Gaja,Still Red,Italy,Barbaresco,2021,6,Delivered,NEXUS (LCB Dinton),In Bond,,-0.59,760.50,"Barbaresco, Gaja 2021 is a still red from Gaja in Barbaresco, Italy. ABV 14.00%. Holding 6 bottles (75cl) in stock. Current status: Delivered. Stored at NEXUS (LCB Dinton), In Bond. Bought from Hatch Mansfield at £765 per case. Current case value £760.50, ROI -0.59%."
"Barbaresco, Gaja",Gaja,Still Red,Italy,Barbaresco,2021,6,In Stock,NEXUS (LCB Dinton),In Bond,,-0.59,760.50,"Barbaresco, Gaja 2021 is a still red from Gaja in Barbaresco, Italy. ABV 14.00%. Holding 6 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Hatch Mansfield at £765 per case. Current case value £760.50, ROI -0.59%."
"Barbaresco, Gaja",Gaja,Still Red,Italy,Barbaresco,2021,60,Delivered,NEXUS (LCB Dinton),In Bond,,-0.59,760.50,"Barbaresco, Gaja 2021 is a still red from Gaja in Barbaresco, Italy. ABV 14.00%. Holding 60 bottles (75cl) in stock. Current status: Delivered. Stored at NEXUS (LCB Dinton), In Bond. Bought from Hatch Mansfield at £765 per case. Current case value £760.50, ROI -0.59%."
"Gaia & Rey, Gaja",Gaja,Still White,Italy,Piedmont,2023,12,Delivered,NEXUS (LCB Dinton),In Bond,,0.00,835.02,"Gaia & Rey, Gaja 2023 is a still white from Gaja in Piedmont, Italy. ABV 13.00%. Holding 12 bottles (75cl) in stock. Current status: Delivered. Stored at NEXUS (LCB Dinton), In Bond. Bought from Hatch Mansfield at £835 per case. Current case value £835.02, ROI 0.00%."
"Gaia & Rey, Gaja",Gaja,Still White,Italy,Piedmont,2023,36,In Stock,NEXUS (LCB Dinton),In Bond,,0.00,835.02,"Gaia & Rey, Gaja 2023 is a still white from Gaja in Piedmont, Italy. ABV 13.00%. Holding 36 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Hatch Mansfield at £835 per case. Current case value £835.02, ROI 0.00%."
"Guado al Tasso, Bolgheri, Guado al Tasso (Antinori)",Guado al Tasso (Antinori),Still Red,Italy,Bolgheri,2021,30,In Stock,NEXUS (LCB Dinton),In Bond,,13.52,469.98,"Guado al Tasso, Bolgheri, Guado al Tasso (Antinori) 2021 is a still red from Guado al Tasso (Antinori) in Bolgheri, Italy. ABV 14.50%. Holding 30 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £414 per case. Current case value £469.98, ROI 13.52%."
"Harlan Estate, Napa Valley",Harlan Estate,Still Red,USA,Napa Valley,2002,5,Due In,NEXUS (LCB Dinton),In Bond,,68.68,1265.08,"Harlan Estate, Napa Valley 2002 is a still red from Harlan Estate in Napa Valley, USA. ABV 14.50%. Holding 5 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sandeep Jaswal at £750 per case. Current case value £1265.08, ROI 68.68%."
"Harlan Estate, Napa Valley",Harlan Estate,Still Red,USA,Napa Valley,2003,5,Due In,NEXUS (LCB Dinton),In Bond,,56.62,783.08,"Harlan Estate, Napa Valley 2003 is a still red from Harlan Estate in Napa Valley, USA. ABV 14.50%. Holding 5 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sandeep Jaswal at £500 per case. Current case value £783.08, ROI 56.62%."
"Harlan Estate, Napa Valley",Harlan Estate,Still Red,USA,Napa Valley,2004,6,Due In,NEXUS (LCB Dinton),In Bond,,11.67,725.83,"Harlan Estate, Napa Valley 2004 is a still red from Harlan Estate in Napa Valley, USA. ABV 14.50%. Holding 6 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Sandeep Jaswal at £650 per case. Current case value £725.83, ROI 11.67%."
"Kevin John Wilyabrup Chardonnay, Margaret River, Cullen",Cullen,Still White,Australia,Margaret River,2024,12,In Stock,NEXUS (LCB Dinton),In Bond,,0.00,360.00,"Kevin John Wilyabrup Chardonnay, Margaret River, Cullen 2024 is a still white from Cullen in Margaret River, Australia. ABV 13.50%. Holding 12 bottles (75cl) in stock. Current status: In Stock. Stored at NEXUS (LCB Dinton), In Bond. Bought from Liberty Wines at £360 per case. Current case value £360.00, ROI 0.00%."
"Chassagne-Montrachet Blanc, 1er Cru, Cailleret, Vincent et Sophie Morey",Vincent et Sophie Morey,Still White,France,Chassagne-Montrachet,2022,4,Due In,NEXUS (LCB Dinton),In Bond,,17.39,972.00,"Chassagne-Montrachet Blanc, 1er Cru, Cailleret, Vincent et Sophie Morey 2022 is a still white from Vincent et Sophie Morey in Chassagne-Montrachet, France. ABV 13.50%. Holding 4 bottles (75cl) in stock. Current status: Due In. Stored at NEXUS (LCB Dinton), In Bond. Bought from Berkmann at £828 per case. Current case value £972.00, ROI 17.39%."
